antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'Adventure'})	frozenset({'Action'})	0.12891096224429557	0.2858242858242858	0.12891096224429557	1.0	3.4986530172413794	0.09206507852589832	inf	0.8198653446675604
frozenset({'1980-2000', 'Adventure'})	frozenset({'Action'})	0.0710582377249044	0.2858242858242858	0.0710582377249044	1.0	3.4986530172413794	0.05074806767525127	inf	0.7688056917869724
frozenset({'High Score', 'Adventure'})	frozenset({'Action'})	0.06050922717589384	0.2858242858242858	0.06050922717589384	1.0	3.4986530172413794	0.04321422053256452	inf	0.7601732074801589
frozenset({'Drama'})	frozenset({'Romance'})	0.05142321808988476	0.07019840353173687	0.043530710197376865	0.8465185924631894	12.058943649344906	0.03992088238300262	6.058073165932243	0.96678941996097
frozenset({'Drama'})	frozenset({'1980-2000', 'Comedy'})	0.05142321808988476	0.04612304612304612	0.05093555093555094	0.9905165959570751	21.475524259924097	0.04856375547579572	100.58381458381425	1.005121968815787
frozenset({'Drama'})	frozenset({'Evening'})	0.05142321808988476	0.3277251610584944	0.056158722825389494	1.0920888445220864	3.33233139925794	0.039306040394735925	inf	0.7378525514941875
frozenset({'Drama'})	frozenset({'Afternoon'})	0.05142321808988476	0.2594774261440928	0.04852288185621519	0.9435987022710257	3.6365348473397727	0.03517971758220555	13.129530767436373	0.7643165646122431
frozenset({'Drama'})	frozenset({'Medium Score'})	0.05142321808988476	0.3747337080670414	0.06111239444572778	1.18842026453706	3.171372734700575	0.0418423812501651	inf	0.7217962173936525
frozenset({'Drama'})	frozenset({'Night'})	0.05142321808988476	0.24957008290341623	0.044737044737044734	0.869977539306214	3.4859047574339903	0.03190334793519174	5.771540648380055	0.7517898848707031
frozenset({'Drama'})	frozenset({'1980-2000', 'High Score'})	0.05142321808988476	0.3050486383819717	0.069672236338903	1.3548789618168204	4.441517815005902	0.053985653679364476	inf	0.8168571659508383
frozenset({'Drama'})	frozenset({'Comedy'})	0.05142321808988476	0.03344370011036678	0.07775724442391109	1.5121038183179436	45.21341279008856	0.076037461739403	inf	1.0308945865107344
frozenset({'Adventure', 'Medium Score'})	frozenset({'Action'})	0.049870383203716534	0.2858242858242858	0.049870383203716534	1.0	3.4986530172413794	0.0356162165407308	inf	0.7516613539359231
frozenset({'1980-2000', 'Comedy'})	frozenset({'Afternoon'})	0.04612304612304612	0.2594774261440928	0.039398372731706065	0.8542014468558708	3.2920067828232438	0.02743048343777278	5.079080401599484	0.7298990880109888
frozenset({'1980-2000', 'Comedy'})	frozenset({'Medium Score'})	0.04612304612304612	0.3747337080670414	0.058417391750725085	1.266555370061213	3.379881080339378	0.04113353164968883	inf	0.7381786501251565
frozenset({'1980-2000', 'Comedy'})	frozenset({'High Score'})	0.04612304612304612	0.48714098714098714	0.07576807576807577	1.642737896494157	3.372202175257981	0.05329964954974581	inf	0.7374723457135282
frozenset({'1980-2000', 'Comedy'})	frozenset({'Evening'})	0.04612304612304612	0.3277251610584944	0.050743050743050744	1.1001669449081803	3.3569804080798535	0.03562736802386709	inf	0.7360626989193941
frozenset({'1980-2000', 'Comedy'})	frozenset({'Drama'})	0.04612304612304612	0.05142321808988476	0.05093555093555094	1.1043405676126878	21.475524259924097	0.04856375547579572	inf	0.9995370563585579
frozenset({'1980-2000', 'Comedy'})	frozenset({'Night'})	0.04612304612304612	0.24957008290341623	0.03951387284720618	0.8567056204785753	3.432725631662033	0.028002940402519466	5.2369808195050895	0.7429535838252672
frozenset({'1980-2000', 'Thriller'})	frozenset({'High Score'})	0.0447627114293781	0.48714098714098714	0.03635686969020303	0.8122133027522936	1.6673064352871316	0.014551118257388633	2.7310721173316606	0.4189851392071804
frozenset({'Adventure', 'Sci-Fi'})	frozenset({'Action'})	0.04382587715921049	0.2858242858242858	0.04382587715921049	1.0	3.4986530172413794	0.03129937711955627	inf	0.7469096863381964
frozenset({'Romance', 'Drama'})	frozenset({'Comedy'})	0.043530710197376865	0.03344370011036678	0.03612586945920279	0.8298938679245282	24.814654634081002	0.03467004144177044	5.682077936266264	1.0033790343702718
frozenset({'Evening', 'Adventure'})	frozenset({'Action'})	0.04195220861887528	0.2858242858242858	0.04195220861887528	1.0	3.4986530172413794	0.029961248551633804	inf	0.7454489437798882
frozenset({'High Score', 'Thriller'})	frozenset({'1980-2000'})	0.04000154000154	0.600266933600267	0.03635686969020303	0.9088867500802055	1.5141376264537942	0.012345267934190194	4.387211154816796	0.35370687401787543
frozenset({'High Score', 'Crime'})	frozenset({'1980-2000'})	0.038641205307871976	0.600266933600267	0.03205769872436539	0.8296247093988708	1.3820929705772182	0.008862660903590721	2.346191545671727	0.2875717936285192
frozenset({'High Score', '1980-2000', 'Adventure'})	frozenset({'Action'})	0.034778368111701444	0.2858242858242858	0.034778368111701444	1.0	3.4986530172413794	0.024837865884040265	inf	0.7399085252353349
